rank,region,founder,university,admission_type,college,department,quota,applicants,rate
42,세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,빅데이터사이언스학부,9,1,0.11
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,식품생명공학과,6,1,0.17
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,식품생명공학과,6,1,0.17
33,서울,사립,성신여자대학교,논술우수자,,화학·에너지융합학부,6,1,0.17
33,서울,사립,성신여자대학교,논술우수자,,융합AI반도체공학과,5,1,0.2
33,서울,사립,성신여자대학교,논술우수자,,컴퓨터공학과,5,1,0.2
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,융합바이오·신소재공학과,8,2,0.25
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,융합바이오·신소재공학과,8,2,0.25
18,경기,사립,한국외국어대학교(용인),논술전형,,산업경영공학과,4,1,0.25
18,서울,사립,한국외국어대학교(서울),논술전형,,산업경영공학과,4,1,0.25
20,서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,컴퓨터공학과,4,1,0.25
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,이과대학,통계학과,4,1,0.25
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,금속공예디자인학과,4,1,0.25
33,서울,사립,성신여자대학교,논술우수자,,바이오헬스융합학부,4,1,0.25
33,서울,사립,성신여자대학교,논술우수자,,바이오식품공학과,4,1,0.25
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,신소재화학과,8,2,0.25
42,세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,표준·지식학과,8,2,0.25
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,전자공학부 반도체공학과,6,2,0.33
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,전자공학부 반도체공학과,6,2,0.33
14,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,경제학과,3,1,0.33
14,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,경제학과,3,1,0.33
17,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,식품융합학부,3,1,0.33
17,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,환경생태과학부,3,1,0.33
17,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,식량자원과학과,3,1,0.33
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),사회과학대학,홍보광고학과,3,1,0.33
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),이과대학,통계학과,3,1,0.33
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,소프트웨어융합학과,5,2,0.4
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,2,0.4
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,소프트웨어융합학과,5,2,0.4
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,응용화학과,5,2,0.4
18,경기,사립,한국외국어대학교(용인),논술전형,,투어리즘 & 웰니스학부,5,2,0.4
18,서울,사립,한국외국어대학교(서울),논술전형,,투어리즘 & 웰니스학부,5,2,0.4
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,사회과학대학,행정학과,5,2,0.4
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,이과대학,화학과,5,2,0.4
16,서울,사립,이화여자대학교,논술(논술전형),신산업융합대학,융합보건학과,7,3,0.43
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,컴퓨터소프트웨어학과,13,6,0.46
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,지능형반도체공학과,13,6,0.46
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,스마트팜과학과,4,2,0.5
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,스마트팜과학과,4,2,0.5
